State,SA3 code,SA3 name,Remoteness/ socioeconomic status (SES),Per cent of patients with costs (%),25th percentile ($),50th percentile (Median) ($),75th percentile ($),90th percentile ($),Average no. of services per patient(b),Average out-of-pocket cost per patient ($)(b),Average Medicare benefits expenditure per patient ($)(b),Service type,Per cent of patients with GP costs (%),Per cent of patients with specialist costs (%),Per cent of patients with obstetric costs (%),25th percentile ($).1,50th percentile (Median) ($).1,75th percentile ($).1,90th percentile ($).1
NSW,11601,Blacktown,Major cities - lower SES,,4,9,19,33,,,,GP,5.6,,,,,,
NSW,11602,Blacktown - North,Major cities - higher SES,,5,10,20,33,,,,GP,9.6,,,,,,
NSW,11701,Botany,Major cities - lower SES,,7,15,29,43,,,,GP,19.0,,,,,,
NSW,12701,Bringelly - Green Valley,Major cities - lower SES,,5,10,19,29,,,,GP,6.0,,,,,,
NSW,12301,Camden,Major cities - medium SES,,6,13,22,31,,,,GP,19.8,,,,,,
NSW,12302,Campbelltown (NSW),Major cities - lower SES,,4,10,18,28,,,,GP,5.6,,,,,,
NSW,12001,Canada Bay,Major cities - higher SES,,7,14,28,41,,,,GP,25.6,,,,,,
NSW,11902,Canterbury,Major cities - lower SES,,5,11,23,38,,,,GP,6.7,,,,,,
NSW,12502,Carlingford,Major cities - medium SES,,7,15,28,41,,,,GP,15.9,,,,,,
NSW,12101,Chatswood - Lane Cove,Major cities - higher SES,,13,25,38,48,,,,GP,43.8,,,,,,
NSW,12801,Cronulla - Miranda - Caringbah,Major cities - higher SES,,8,17,28,38,,,,GP,31.7,,,,,,
NSW,11502,Dural - Wisemans Ferry,Major cities - higher SES,,8,17,27,38,,,,GP,34.1,,,,,,
NSW,11801,Eastern Suburbs - North,Major cities - higher SES,,15,29,45,60,,,,GP,54.3,,,,,,
NSW,11802,Eastern Suburbs - South,Major cities - higher SES,,11,22,38,50,,,,GP,32.1,,,,,,
NSW,12702,Fairfield,Major cities - lower SES,,3,7,15,24,,,,GP,4.7,,,,,,
NSW,11503,Hawkesbury,Inner regional,,7,14,23,32,,,,GP,27.6,,,,,,
NSW,12102,Hornsby,Major cities - higher SES,,9,17,28,38,,,,GP,33.8,,,,,,
NSW,11903,Hurstville,Major cities - medium SES,,6,13,23,35,,,,GP,19.4,,,,,,
NSW,11904,Kogarah - Rockdale,Major cities - medium SES,,5,11,21,34,,,,GP,14.8,,,,,,
NSW,12103,Ku-ring-gai,Major cities - higher SES,,14,26,38,48,,,,GP,51.7,,,,,,
NSW,12002,Leichhardt,Major cities - higher SES,,13,25,40,48,,,,GP,45.7,,,,,,
NSW,12703,Liverpool,Major cities - lower SES,,4,9,17,28,,,,GP,6.6,,,,,,
NSW,12201,Manly,Major cities - higher SES,,14,26,38,49,,,,GP,61.0,,,,,,
NSW,11702,Marrickville - Sydenham - Petersham,Major cities - medium SES,,10,21,34,43,,,,GP,28.9,,,,,,
NSW,12503,Merrylands - Guildford,Major cities - lower SES,,4,8,16,28,,,,GP,4.7,,,,,,
NSW,11603,Mount Druitt,Major cities - lower SES,,3,5,11,24,,,,GP,2.6,,,,,,
NSW,12104,North Sydney - Mosman,Major cities - higher SES,,17,33,48,57,,,,GP,67.7,,,,,,
NSW,12504,Parramatta,Major cities - medium SES,,5,11,23,36,,,,GP,9.5,,,,,,
NSW,12601,Pennant Hills - Epping,Major cities - higher SES,,9,18,30,39,,,,GP,31.4,,,,,,
NSW,12403,Penrith,Major cities - medium SES,,5,11,19,30,,,,GP,10.3,,,,,,
NSW,12202,Pittwater,Major cities - higher SES,,14,25,38,48,,,,GP,60.8,,,,,,
NSW,12404,Richmond - Windsor,Major cities - medium SES,,6,13,22,30,,,,GP,24.1,,,,,,
NSW,11504,Rouse Hill - McGraths Hill,Major cities - higher SES,,6,12,22,33,,,,GP,18.0,,,,,,
NSW,12602,Ryde - Hunters Hill,Major cities - higher SES,,9,20,35,47,,,,GP,27.3,,,,,,
